,PostCount,OwnerUserId,DisplayName,Year
0,13,108,rapaio,2014
1,16,108,rapaio,2015
2,22,108,rapaio,2016
3,6,108,rapaio,2017
4,3,108,rapaio,2018
5,7,108,rapaio,2019
6,63,11097,Dawny33,2015
7,36,11097,Dawny33,2016
8,4,11097,Dawny33,2017
9,9,11097,Dawny33,2018
10,3,1330,Brian Spiering,2014
11,5,1330,Brian Spiering,2015
12,82,1330,Brian Spiering,2017
13,83,1330,Brian Spiering,2018
14,65,1330,Brian Spiering,2019
15,15,14675,ncasas,2016
16,51,14675,ncasas,2017
17,16,14675,ncasas,2018
18,21,14675,ncasas,2019
19,1,14904,Jan van der Vegt,2015
20,87,14904,Jan van der Vegt,2016
21,67,14904,Jan van der Vegt,2017
22,29,14904,Jan van der Vegt,2018
23,24,21,Sean Owen,2014
24,12,21,Sean Owen,2015
25,25,21,Sean Owen,2016
26,9,21,Sean Owen,2017
27,14,21,Sean Owen,2018
28,10,21,Sean Owen,2019
29,17,23305,oW_,2016
30,35,23305,oW_,2017
31,36,23305,oW_,2018
32,28,23305,oW_,2019
33,37,2452,Aleksandr Blekh,2014
34,52,2452,Aleksandr Blekh,2015
35,60,28628,Icyblade,2017
36,33,29587,JahKnows,2017
37,145,29587,JahKnows,2018
38,25,29587,JahKnows,2019
39,36,381,Emre,2014
40,16,381,Emre,2015
41,131,381,Emre,2016
42,38,381,Emre,2017
43,6,381,Emre,2018
44,258,45264,n1k31t4,2018
45,87,45264,n1k31t4,2019
46,103,50727,David Masip,2018
47,21,548,indico,2014
48,1,836,Neil Slater,2014
49,18,836,Neil Slater,2015
50,66,836,Neil Slater,2016
51,169,836,Neil Slater,2017
52,109,836,Neil Slater,2018
53,30,836,Neil Slater,2019
54,2,843,Franck Dernoncourt,2014
55,17,843,Franck Dernoncourt,2015
56,16,843,Franck Dernoncourt,2016
57,4,843,Franck Dernoncourt,2017
58,7,8820,Martin Thoma,2015
59,38,8820,Martin Thoma,2016
60,22,8820,Martin Thoma,2017
61,30,8820,Martin Thoma,2018
62,11,8820,Martin Thoma,2019
63,30,8878,Kasra Manshaei,2015
64,13,8878,Kasra Manshaei,2016
65,16,8878,Kasra Manshaei,2017
66,76,8878,Kasra Manshaei,2018
67,12,8878,Kasra Manshaei,2019
68,44,9420,AN6U5,2015
69,31,9420,AN6U5,2016
70,2,9420,AN6U5,2017
71,11,97,IharS,2014
72,16,97,IharS,2015
